iter	Passed	Remaining
854	40624	9835
855	40673	9788
856	40722	9741
857	40774	9694
858	40818	9646
859	40867	9599
860	40922	9553
861	40972	9506
862	41021	9459
863	41069	9411
864	41116	9364
865	41161	9316
866	41207	9268
867	41256	9220
868	41305	9173
869	41360	9127
870	41407	9080
871	41452	9032
872	41505	8985
873	41551	8937
874	41595	8889
875	41648	8843
876	41695	8795
877	41742	8747
878	41790	8700
879	41841	8653
880	41888	8605
881	41943	8559
882	41996	8513
883	42047	8466
884	42101	8420
885	42155	8374
886	42208	8327
887	42261	8280
888	42301	8231
889	42348	8184
890	42398	8137
891	42445	8089
892	42496	8042
893	42544	7994
894	42596	7948
895	42648	7901
896	42698	7854
897	42746	7806
898	42801	7760
899	42852	7713
900	42895	7665
901	42943	7617
902	42986	7569
903	43037	7521
904	43087	7474
905	43139	7427
906	43192	7381
907	43243	7334
908	43294	7287
909	43342	7239
910	43394	7192
911	43444	7145
912	43491	7097
913	43539	7050
914	43583	7001
915	43637	6955
916	43688	6908
917	43733	6860
918	43788	6813
919	43834	6765
920	43883	6718
921	43934	6671
922	43986	6624
923	44032	6576
924	44085	6529
925	44128	6481
926	44173	6433
927	44221	6385
928	44261	6336
929	44301	6287
930	44354	6241
931	44403	6193
932	44452	6146
933	44505	6099
934	44550	6051
935	44596	6003
936	44651	5956
937	44706	5910
938	44756	5862
939	44810	5815
940	44862	5768
941	44906	5720
942	44957	5673
943	45009	5626
944	45063	5579
945	45104	5530
946	45151	5483
947	45205	5436
948	45249	5387
949	45293	5339
950	45342	5292
951	45396	5245
952	45449	5198
953	45494	5150
954	45539	5102
955	45593	5055
956	45646	5008
957	45698	4961
958	45754	4914
959	45812	4867
960	45858	4819
961	45906	4771
962	45950	4723
963	45995	4675
964	46048	4628
965	46095	4580
966	46141	4533
967	46189	4485
968	46230	4437
969	46267	4388
970	46305	4339
971	46344	4291
972	46383	4242
973	46421	4194
974	46463	4145
975	46502	4097
976	46540	4049
977	46579	4000
978	46617	3952
979	46655	3903
980	46695	3855
981	46734	3807
982	46773	3758
983	46810	3710
984	46847	3662
985	46887	3614
986	46925	3565
987	46964	3517
988	47014	3470
989	47067	3423
990	47112	3375
991	47163	3328
992	47215	3280
993	47261	3233
994	47306	3185
995	47358	3138
996	47408	3090
997	47462	3043
998	47515	2996
999	47559	2948
1000	47612	2901
1001	47663	2854
1002	47718	2806
1003	47764	2759
1004	47816	2711
1005	47865	2664
1006	47918	2617
1007	47964	2569
1008	48017	2522
1009	48070	2474
1010	48124	2427
1011	48174	2380
1012	48221	2332
1013	48264	2284
1014	48307	2236
1015	48361	2189
1016	48418	2142
1017	48474	2095
1018	48529	2047
1019	48584	2000
1020	48643	1953
1021	48699	1906
1022	48753	1858
1023	48804	1811
1024	48852	1763
1025	48898	1715
1026	48943	1667
1027	48990	1620
1028	49041	1572
1029	49087	1525
1030	49140	1477
1031	49191	1429
1032	49243	1382
1033	49291	1334
1034	49339	1287
1035	49387	1239
1036	49435	1191
1037	49486	1144
1038	49539	1096
1039	49582	1048
1040	49635	1001
1041	49684	953
1042	49731	905
1043	49783	858
1044	49828	810
1045	49881	763
1046	49929	715
1047	49983	667
1048	50037	620
1049	50089	572
1050	50134	524
1051	50186	477
1052	50233	429
1053	50277	381
1054	50323	333
1055	50376	286
1056	50422	238
1057	50471	190
1058	50525	143
1059	50572	95
1060	50619	47
1061	50671	0
